ls,loss,acc_th0.20,acc_th0.25,acc_th0.30,acc_th0.35,acc_th0.40,acc_th0.45,acc_th0.50,acc_th0.55,acc_th0.60,acc_th0.65,acc_th0.70,auc,psnr,ssim,mse,lpips,clip
0,0.02962,0.5103,0.4963,0.4873,0.4704,0.4666,0.4817,0.4728,0.4618,0.4645,0.4757,0.4621,0.5221,2.05,0.0641,0.623388,0.2109,0.3
200,0.048,0.505,0.5046,0.4947,0.5062,0.4782,0.4645,0.4913,0.4882,0.4639,0.4667,0.4656,0.5256,3.46,0.0582,0.451274,0.227,0.3
400,0.04038,0.4808,0.5022,0.4747,0.4794,0.4925,0.4669,0.478,0.4752,0.4602,0.4763,0.4601,0.5322,1.88,0.0891,0.649269,0.2065,0.3
600,0.01498,0.5064,0.4881,0.4962,0.5058,0.5027,0.4795,0.4621,0.4943,0.4853,0.4602,0.4753,0.4961,2.93,0.1023,0.509395,0.1793,0.3
800,0.0254,0.503,0.506,0.4811,0.4691,0.4843,0.4745,0.4743,0.4692,0.4837,0.4709,0.4664,0.5452,1.38,0.1019,0.728486,0.2336,0.3
1000,0.01577,0.4858,0.4934,0.5035,0.4856,0.468,0.4688,0.4838,0.4832,0.4567,0.4855,0.4618,0.5269,2.49,0.1088,0.563377,0.206,0.3
1200,0.05545,0.4907,0.495,0.4938,0.482,0.5047,0.502,0.4988,0.4969,0.4734,0.4605,0.4525,0.5262,4,0.058,0.398402,0.1682,0.3
1400,0.03266,0.4906,0.4796,0.5052,0.4865,0.4686,0.4966,0.4701,0.4644,0.4929,0.4894,0.4516,0.4904,2.43,0.0511,0.571334,0.1807,0.3
1600,0.07472,0.4765,0.5056,0.4951,0.4843,0.4784,0.4735,0.4942,0.4722,0.4593,0.4597,0.4572,0.5412,3.2,0.047,0.47887,0.1577,0.3
1800,0.02729,0.4805,0.4952,0.4962,0.4703,0.4762,0.48,0.4918,0.4746,0.4876,0.4662,0.4601,0.5468,2.99,0.038,0.502867,0.1682,0.3
2000,0.03547,0.48,0.4801,0.4863,0.5006,0.4898,0.4851,0.4987,0.4767,0.4659,0.4923,0.4712,0.4914,1.92,0.0882,0.643247,0.222,0.3
2200,0.02132,0.4859,0.4915,0.4824,0.4987,0.466,0.4809,0.4723,0.4706,0.4626,0.4901,0.4655,0.5077,0.72,0.0492,0.846988,0.1917,0.3
2400,0.0211,0.4794,0.4811,0.4783,0.5053,0.4695,0.5014,0.4768,0.478,0.4638,0.4675,0.4815,0.5457,2.11,0.0482,0.614963,0.212,0.3
2600,0.18266,0.4956,0.5113,0.4918,0.4872,0.4774,0.4942,0.469,0.4838,0.4829,0.4865,0.4707,0.5026,2.79,0.0888,0.525523,0.2273,0.3
