epoch,loss,acc_th0.20,acc_th0.25,acc_th0.30,acc_th0.35,acc_th0.40,acc_th0.45,acc_th0.50,acc_th0.55,acc_th0.60,acc_th0.65,acc_th0.70,auc,psnr,ssim,mse,lpips,clip
0,0.03821,0.7458,0.7372,0.7302,0.7500,0.7534,0.7380,0.7464,0.7275,0.7444,0.7142,0.7277,0.7065,2.58,0.1462,0.551528,0.2540,0.3000
200,0.02791,0.7343,0.7435,0.7386,0.7320,0.7428,0.7363,0.7396,0.7432,0.7299,0.7350,0.7391,0.6809,1.88,0.1095,0.648651,0.1874,0.3000
400,0.06898,0.7437,0.7433,0.7429,0.7434,0.7495,0.7289,0.7436,0.7184,0.7272,0.7224,0.7398,0.7378,3.15,0.0899,0.483780,0.1692,0.3000
600,0.03469,0.7597,0.7312,0.7515,0.7428,0.7242,0.7308,0.7267,0.7446,0.7349,0.7314,0.7129,0.7114,3.44,0.0815,0.452973,0.1476,0.3000
800,0.03242,0.7464,0.7485,0.7374,0.7502,0.7325,0.7304,0.7393,0.7231,0.7357,0.7188,0.7178,0.7481,2.53,0.1125,0.558224,0.2245,0.3000
1000,0.04675,0.7591,0.7469,0.7399,0.7384,0.7446,0.7388,0.7318,0.7388,0.7413,0.7226,0.7184,0.7344,2.57,0.0730,0.553194,0.1849,0.3000
1200,0.03126,0.7587,0.7465,0.7544,0.7321,0.7324,0.7265,0.7360,0.7288,0.7265,0.7371,0.7179,0.7083,1.86,0.0684,0.651293,0.2263,0.3000
1400,0.01813,0.7390,0.7469,0.7309,0.7506,0.7538,0.7493,0.7387,0.7217,0.7235,0.7204,0.7284,0.6956,1.38,0.0849,0.727314,0.2102,0.3000
1600,0.02399,0.7566,0.7308,0.7440,0.7485,0.7373,0.7498,0.7403,0.7368,0.7297,0.7439,0.7398,0.6632,4.22,0.1622,0.378816,0.1702,0.3000
1800,0.03591,0.7420,0.7344,0.7298,0.7542,0.7431,0.7289,0.7249,0.7475,0.7254,0.7210,0.7363,0.6907,3.21,0.0711,0.477953,0.1716,0.3000
2000,0.04233,0.7595,0.7594,0.7303,0.7553,0.7383,0.7386,0.7220,0.7182,0.7374,0.7165,0.7202,0.6632,2.92,0.0860,0.511078,0.2062,0.3000
2200,0.03532,0.7368,0.7528,0.7471,0.7359,0.7281,0.7315,0.7377,0.7234,0.7449,0.7210,0.7280,0.6677,2.16,0.1358,0.607607,0.2176,0.3000
2400,0.02593,0.7476,0.7313,0.7485,0.7261,0.7334,0.7301,0.7472,0.7295,0.7267,0.7174,0.7266,0.7460,1.86,0.1032,0.651315,0.1424,0.3000
2600,0.02268,0.7356,0.7429,0.7532,0.7311,0.7430,0.7234,0.7446,0.7324,0.7331,0.7287,0.7205,0.7549,2.66,0.0780,0.541707,0.1242,0.3000
2800,0.05423,0.7425,0.7399,0.7415,0.7485,0.7332,0.7262,0.7303,0.7256,0.7175,0.7229,0.7295,0.6965,3.64,0.1063,0.432740,0.2183,0.3000
3000,0.03501,0.7442,0.7450,0.7494,0.7314,0.7433,0.7260,0.7261,0.7272,0.7264,0.7440,0.7406,0.7522,4.35,0.1167,0.367141,0.1810,0.3000
3200,0.04222,0.7583,0.7548,0.7291,0.7418,0.7287,0.7489,0.7339,0.7465,0.7404,0.7142,0.7239,0.7136,2.28,0.0747,0.591986,0.2314,0.3000
3400,0.01585,0.7598,0.7546,0.7364,0.7284,0.7296,0.7294,0.7229,0.7337,0.7385,0.7188,0.7385,0.7537,3.39,0.1521,0.458657,0.2209,0.3000
3600,0.02864,0.7334,0.7567,0.7315,0.7293,0.7386,0.7396,0.7392,0.7468,0.7344,0.7293,0.7123,0.7512,3.48,0.1017,0.448317,0.2316,0.3000
3800,0.02553,0.7452,0.7585,0.7519,0.7495,0.7380,0.7489,0.7481,0.7435,0.7205,0.7378,0.7357,0.7538,2.73,0.1349,0.532904,0.2405,0.3000
4000,0.01456,0.7424,0.7564,0.7337,0.7475,0.7478,0.7511,0.7325,0.7335,0.7345,0.7322,0.7250,0.6901,1.61,0.0740,0.689627,0.1901,0.3000
4200,0.03535,0.7346,0.7400,0.7559,0.7326,0.7281,0.7226,0.7367,0.7359,0.7346,0.7345,0.7319,0.6641,1.35,0.0802,0.733186,0.1909,0.3000
4400,0.03893,0.7408,0.7321,0.7435,0.7264,0.7505,0.7396,0.7337,0.7193,0.7185,0.7380,0.7346,0.6887,1.90,0.0611,0.645742,0.2353,0.3000
4600,0.06289,0.7484,0.7496,0.7526,0.7496,0.7478,0.7237,0.7470,0.7413,0.7179,0.7430,0.7331,0.6874,3.12,0.0915,0.487085,0.1715,0.3000
4800,0.01354,0.7581,0.7559,0.7559,0.7519,0.7336,0.7385,0.7266,0.7220,0.7263,0.7313,0.7356,0.6623,2.30,0.1194,0.588409,0.1812,0.3000
5000,0.02089,0.7462,0.7564,0.7514,0.7321,0.7516,0.7229,0.7344,0.7194,0.7239,0.7303,0.7170,0.6920,2.50,0.0884,0.561810,0.1914,0.3000
