epoch,loss,acc_th0.20,acc_th0.25,acc_th0.30,acc_th0.35,acc_th0.40,acc_th0.45,acc_th0.50,acc_th0.55,acc_th0.60,acc_th0.65,acc_th0.70,auc,psnr,ssim,mse,lpips,clip
0,0.00000,0.7453,0.7509,0.7499,0.7553,0.7322,0.7316,0.7202,0.7410,0.7342,0.7427,0.7205,0.6608,3.28,0.0802,0.470162,0.2559,0.4974
0,0.01093,0.7462,0.7460,0.7419,0.7291,0.7476,0.7482,0.7214,0.7464,0.7268,0.7201,0.7414,0.7237,3.34,0.1033,0.463633,0.2008,0.4985
200,0.04201,0.7583,0.7568,0.7308,0.7478,0.7261,0.7513,0.7247,0.7235,0.7322,0.7412,0.7148,0.7455,1.08,0.1059,0.780490,0.3092,0.4966
400,0.02295,0.7558,0.7480,0.7531,0.7530,0.7478,0.7368,0.7314,0.7221,0.7457,0.7185,0.7397,0.6759,3.07,0.1076,0.493436,0.1890,0.4961
600,0.01072,0.7462,0.7319,0.7389,0.7542,0.7530,0.7268,0.7429,0.7459,0.7172,0.7272,0.7299,0.7156,2.85,0.1231,0.519391,0.2221,0.4937
800,0.02158,0.7606,0.7452,0.7452,0.7555,0.7459,0.7309,0.7227,0.7182,0.7438,0.7349,0.7390,0.7091,2.65,0.0720,0.543787,0.2347,0.4966
1000,0.02366,0.7458,0.7478,0.7561,0.7519,0.7499,0.7302,0.7322,0.7289,0.7231,0.7294,0.7140,0.7411,3.61,0.0811,0.435440,0.2698,0.4975
1200,0.02938,0.7331,0.7540,0.7362,0.7268,0.7442,0.7477,0.7307,0.7438,0.7449,0.7425,0.7393,0.6956,3.35,0.0954,0.462336,0.1949,0.4964
1400,0.02538,0.7344,0.7407,0.7345,0.7509,0.7315,0.7461,0.7339,0.7233,0.7348,0.7209,0.7180,0.7379,2.59,0.0993,0.550278,0.1336,0.4927
1600,0.03205,0.7443,0.7516,0.7528,0.7370,0.7502,0.7271,0.7312,0.7450,0.7414,0.7384,0.7292,0.7574,0.58,0.0857,0.875902,0.2292,0.4958
1800,0.04015,0.7407,0.7479,0.7526,0.7332,0.7496,0.7483,0.7220,0.7190,0.7280,0.7282,0.7302,0.7312,3.95,0.1656,0.403179,0.1630,0.4953
2000,0.01764,0.7561,0.7466,0.7580,0.7365,0.7264,0.7281,0.7429,0.7449,0.7441,0.7248,0.7397,0.7390,5.12,0.1465,0.307599,0.1585,0.4960
2200,0.02853,0.7374,0.7456,0.7390,0.7345,0.7401,0.7491,0.7264,0.7237,0.7411,0.7279,0.7369,0.7498,4.43,0.1736,0.360626,0.1943,0.4960
2400,0.04112,0.7322,0.7400,0.7522,0.7434,0.7305,0.7254,0.7330,0.7343,0.7379,0.7250,0.7160,0.6830,2.75,0.0721,0.530836,0.2232,0.4953
2600,0.03114,0.7459,0.7469,0.7353,0.7274,0.7311,0.7388,0.7201,0.7225,0.7226,0.7413,0.7384,0.6600,3.47,0.1028,0.449455,0.2021,0.4944
2800,0.02579,0.7568,0.7564,0.7524,0.7331,0.7354,0.7477,0.7393,0.7288,0.7203,0.7373,0.7278,0.7134,4.71,0.1025,0.337819,0.1861,0.4951
3000,0.01078,0.7395,0.7458,0.7358,0.7353,0.7516,0.7267,0.7257,0.7233,0.7258,0.7408,0.7138,0.6652,2.17,0.1040,0.606120,0.2127,0.4941
3200,0.02181,0.7601,0.7420,0.7527,0.7523,0.7308,0.7505,0.7209,0.7414,0.7251,0.7401,0.7136,0.6886,2.91,0.0796,0.512155,0.1683,0.4947
3400,0.04083,0.7463,0.7483,0.7439,0.7493,0.7515,0.7331,0.7444,0.7224,0.7397,0.7390,0.7382,0.6694,4.97,0.1133,0.318490,0.1490,0.4939
3600,0.00744,0.7526,0.7527,0.7547,0.7435,0.7336,0.7261,0.7347,0.7424,0.7169,0.7262,0.7312,0.7556,1.65,0.1101,0.683953,0.2181,0.4932
3800,0.01122,0.7409,0.7509,0.7578,0.7349,0.7406,0.7229,0.7255,0.7338,0.7400,0.7378,0.7420,0.6916,3.14,0.0916,0.485174,0.1513,0.4932
4000,0.02656,0.7427,0.7321,0.7480,0.7339,0.7313,0.7470,0.7255,0.7309,0.7202,0.7191,0.7209,0.7538,2.61,0.1049,0.547954,0.2793,0.4916
4200,0.03057,0.7463,0.7519,0.7307,0.7433,0.7528,0.7305,0.7203,0.7261,0.7178,0.7368,0.7230,0.7156,2.30,0.1305,0.588417,0.1977,0.4952
4400,0.02945,0.7479,0.7413,0.7450,0.7414,0.7459,0.7500,0.7407,0.7328,0.7346,0.7159,0.7230,0.7503,2.39,0.1097,0.576513,0.1906,0.4935
4600,0.03457,0.7585,0.7582,0.7541,0.7375,0.7345,0.7300,0.7398,0.7335,0.7403,0.7319,0.7412,0.6668,3.01,0.0902,0.499701,0.2321,0.4934
4800,0.03290,0.7582,0.7460,0.7460,0.7556,0.7458,0.7227,0.7252,0.7440,0.7324,0.7192,0.7276,0.7480,2.49,0.1077,0.563856,0.2028,0.4945
5000,0.01724,0.7458,0.7342,0.7506,0.7351,0.7521,0.7356,0.7231,0.7227,0.7409,0.7154,0.7151,0.6913,2.87,0.0457,0.516149,0.1491,0.4948
