epoch,loss,acc_th0.20,acc_th0.25,acc_th0.30,acc_th0.35,acc_th0.40,acc_th0.45,acc_th0.50,acc_th0.55,acc_th0.60,acc_th0.65,acc_th0.70,auc,psnr,ssim,mse,lpips,clip
0,0.03821,0.7458,0.7372,0.7302,0.7500,0.7534,0.7380,0.7464,0.7275,0.7444,0.7142,0.7277,0.7065,2.42,0.1512,0.572585,0.2451,0.3000
200,0.01601,0.7343,0.7435,0.7386,0.7320,0.7428,0.7363,0.7396,0.7432,0.7299,0.7350,0.7391,0.6809,1.41,0.0962,0.722929,0.2015,0.3000
400,0.05545,0.7437,0.7433,0.7429,0.7434,0.7495,0.7289,0.7436,0.7184,0.7272,0.7224,0.7398,0.7378,2.79,0.0816,0.525667,0.1879,0.3000
600,0.04456,0.7597,0.7312,0.7515,0.7428,0.7242,0.7308,0.7267,0.7446,0.7349,0.7314,0.7129,0.7114,3.07,0.1063,0.492715,0.1445,0.3000
800,0.02405,0.7464,0.7485,0.7374,0.7502,0.7325,0.7304,0.7393,0.7231,0.7357,0.7188,0.7178,0.7481,2.32,0.0874,0.586357,0.2307,0.3000
1000,0.02121,0.7591,0.7469,0.7399,0.7384,0.7446,0.7388,0.7318,0.7388,0.7413,0.7226,0.7184,0.7344,2.61,0.0596,0.547954,0.2110,0.3000
1200,0.02008,0.7587,0.7465,0.7544,0.7321,0.7324,0.7265,0.7360,0.7288,0.7265,0.7371,0.7179,0.7083,3.21,0.1362,0.477017,0.2410,0.3000
1400,0.05462,0.7390,0.7469,0.7309,0.7506,0.7538,0.7493,0.7387,0.7217,0.7235,0.7204,0.7284,0.6956,1.44,0.0605,0.718368,0.1667,0.3000
1600,0.03091,0.7566,0.7308,0.7440,0.7485,0.7373,0.7498,0.7403,0.7368,0.7297,0.7439,0.7398,0.6632,3.83,0.1244,0.414354,0.1812,0.3000
1800,0.06983,0.7420,0.7344,0.7298,0.7542,0.7431,0.7289,0.7249,0.7475,0.7254,0.7210,0.7363,0.6907,3.36,0.0877,0.461300,0.1918,0.3000
2000,0.04387,0.7595,0.7594,0.7303,0.7553,0.7383,0.7386,0.7220,0.7182,0.7374,0.7165,0.7202,0.6632,2.85,0.0808,0.518441,0.1745,0.3000
2200,0.02219,0.7368,0.7528,0.7471,0.7359,0.7281,0.7315,0.7377,0.7234,0.7449,0.7210,0.7280,0.6677,2.56,0.1307,0.554127,0.2630,0.3000
2400,0.07709,0.7476,0.7313,0.7485,0.7261,0.7334,0.7301,0.7472,0.7295,0.7267,0.7174,0.7266,0.7460,1.84,0.1030,0.654846,0.1808,0.3000
2600,0.02314,0.7356,0.7429,0.7532,0.7311,0.7430,0.7234,0.7446,0.7324,0.7331,0.7287,0.7205,0.7549,2.43,0.0658,0.571144,0.2060,0.3000
2800,0.03478,0.7425,0.7399,0.7415,0.7485,0.7332,0.7262,0.7303,0.7256,0.7175,0.7229,0.7295,0.6965,4.66,0.1479,0.341843,0.1405,0.3000
3000,0.01126,0.7442,0.7450,0.7494,0.7314,0.7433,0.7260,0.7261,0.7272,0.7264,0.7440,0.7406,0.7522,2.51,0.0748,0.561673,0.1730,0.3000
3200,0.02873,0.7583,0.7548,0.7291,0.7418,0.7287,0.7489,0.7339,0.7465,0.7404,0.7142,0.7239,0.7136,2.49,0.0858,0.563827,0.2268,0.3000
3400,0.02372,0.7598,0.7546,0.7364,0.7284,0.7296,0.7294,0.7229,0.7337,0.7385,0.7188,0.7385,0.7537,3.62,0.1697,0.434355,0.2223,0.3000
3600,0.02856,0.7334,0.7567,0.7315,0.7293,0.7386,0.7396,0.7392,0.7468,0.7344,0.7293,0.7123,0.7512,2.62,0.1111,0.547092,0.2470,0.3000
3800,0.01955,0.7452,0.7585,0.7519,0.7495,0.7380,0.7489,0.7481,0.7435,0.7205,0.7378,0.7357,0.7538,2.49,0.0816,0.564043,0.2495,0.3000
4000,0.01378,0.7424,0.7564,0.7337,0.7475,0.7478,0.7511,0.7325,0.7335,0.7345,0.7322,0.7250,0.6901,1.93,0.1229,0.641317,0.2159,0.3000
4200,0.02237,0.7346,0.7400,0.7559,0.7326,0.7281,0.7226,0.7367,0.7359,0.7346,0.7345,0.7319,0.6641,1.65,0.1005,0.684135,0.2568,0.3000
4400,0.02582,0.7408,0.7321,0.7435,0.7264,0.7505,0.7396,0.7337,0.7193,0.7185,0.7380,0.7346,0.6887,1.73,0.0801,0.670979,0.2026,0.3000
4600,0.03047,0.7484,0.7496,0.7526,0.7496,0.7478,0.7237,0.7470,0.7413,0.7179,0.7430,0.7331,0.6874,4.05,0.1152,0.393607,0.1350,0.3000
4800,0.02940,0.7581,0.7559,0.7559,0.7519,0.7336,0.7385,0.7266,0.7220,0.7263,0.7313,0.7356,0.6623,2.78,0.0831,0.526918,0.1646,0.3000
5000,0.03627,0.7462,0.7564,0.7514,0.7321,0.7516,0.7229,0.7344,0.7194,0.7239,0.7303,0.7170,0.6920,1.75,0.0851,0.668489,0.2123,0.3000
5200,0.01880,0.7540,0.7436,0.7297,0.7282,0.7298,0.7472,0.7485,0.7226,0.7267,0.7299,0.7191,0.7204,2.66,0.1152,0.542452,0.2330,0.3000
5400,0.01538,0.7387,0.7448,0.7408,0.7324,0.7453,0.7261,0.7367,0.7247,0.7290,0.7252,0.7376,0.7015,3.33,0.0912,0.464875,0.1826,0.3000
5600,0.01435,0.7341,0.7478,0.7358,0.7508,0.7504,0.7471,0.7302,0.7297,0.7317,0.7207,0.7281,0.6671,1.22,0.0744,0.755250,0.2234,0.3000
5800,0.02921,0.7396,0.7433,0.7543,0.7308,0.7292,0.7383,0.7419,0.7467,0.7437,0.7395,0.7229,0.6803,2.87,0.1201,0.516084,0.1843,0.3000
6000,0.01631,0.7425,0.7481,0.7319,0.7507,0.7287,0.7265,0.7346,0.7367,0.7238,0.7191,0.7185,0.7193,2.97,0.1131,0.504741,0.2752,0.3000
6200,0.03763,0.7417,0.7593,0.7548,0.7293,0.7524,0.7397,0.7489,0.7322,0.7275,0.7399,0.7154,0.7150,3.09,0.1183,0.491109,0.1777,0.3000
6400,0.01206,0.7449,0.7333,0.7374,0.7329,0.7369,0.7386,0.7410,0.7440,0.7449,0.7192,0.7324,0.7346,3.35,0.1218,0.462407,0.1918,0.3000
6600,0.03583,0.7421,0.7394,0.7402,0.7383,0.7488,0.7449,0.7376,0.7420,0.7376,0.7331,0.7408,0.7458,2.62,0.0982,0.546909,0.2161,0.3000
6800,0.01274,0.7540,0.7303,0.7377,0.7490,0.7308,0.7297,0.7410,0.7388,0.7402,0.7353,0.7397,0.7125,2.23,0.0789,0.598866,0.2444,0.3000
7000,0.05446,0.7511,0.7307,0.7438,0.7512,0.7372,0.7357,0.7300,0.7251,0.7211,0.7168,0.7182,0.7129,2.91,0.0801,0.512163,0.1962,0.3000
7200,0.01893,0.7585,0.7488,0.7471,0.7457,0.7265,0.7346,0.7447,0.7415,0.7225,0.7439,0.7120,0.7528,2.38,0.1290,0.577540,0.1837,0.3000
7400,0.02268,0.7555,0.7575,0.7336,0.7462,0.7371,0.7494,0.7442,0.7396,0.7224,0.7375,0.7148,0.7110,2.34,0.1023,0.582986,0.1804,0.3000
7600,0.00797,0.7431,0.7466,0.7332,0.7315,0.7337,0.7464,0.7490,0.7361,0.7276,0.7214,0.7344,0.6826,3.23,0.1176,0.475461,0.1492,0.3000
7800,0.01238,0.7570,0.7410,0.7529,0.7364,0.7448,0.7288,0.7422,0.7312,0.7203,0.7422,0.7190,0.7412,2.20,0.0776,0.602715,0.2909,0.3000
