epoch,loss,acc_th0.20,acc_th0.25,acc_th0.30,acc_th0.35,acc_th0.40,acc_th0.45,acc_th0.50,acc_th0.55,acc_th0.60,acc_th0.65,acc_th0.70,auc,psnr,ssim,mse,lpips,clip
0,0.00000,0.5125,0.5090,0.4983,0.5054,0.4690,0.4774,0.4635,0.4772,0.4899,0.4762,0.4736,0.5275,2.43,0.1258,0.571144,0.2748,0.4957
0,0.03400,0.4949,0.4874,0.4948,0.4841,0.4939,0.5014,0.4708,0.4795,0.4693,0.4657,0.4606,0.5332,2.32,0.0836,0.586563,0.2589,0.4955
200,0.02866,0.5054,0.4883,0.5040,0.4746,0.4764,0.4885,0.4805,0.4580,0.4841,0.4867,0.4543,0.5368,1.34,0.1037,0.734611,0.2752,0.4964
400,0.03322,0.5062,0.5016,0.4817,0.4990,0.4661,0.4782,0.4847,0.4901,0.4649,0.4874,0.4740,0.5089,3.83,0.1528,0.413734,0.2533,0.4959
600,0.02524,0.5131,0.4939,0.5051,0.4689,0.4881,0.4971,0.4688,0.4661,0.4651,0.4548,0.4648,0.5303,1.54,0.1032,0.701054,0.2507,0.4954
800,0.01303,0.4940,0.5072,0.4867,0.4890,0.4864,0.4792,0.4836,0.4854,0.4633,0.4914,0.4758,0.5005,3.21,0.1358,0.477322,0.2221,0.4966
1000,0.02470,0.4858,0.4844,0.4806,0.4758,0.4959,0.4632,0.4647,0.4843,0.4945,0.4528,0.4544,0.5106,3.34,0.1275,0.463283,0.1586,0.4960
1200,0.01219,0.5020,0.4799,0.4740,0.5021,0.4859,0.4890,0.4821,0.4619,0.4655,0.4799,0.4682,0.5332,2.90,0.1281,0.513358,0.1451,0.4962
1400,0.02417,0.5028,0.4732,0.5039,0.5056,0.4702,0.4892,0.4952,0.4760,0.4870,0.4539,0.4699,0.5257,1.18,0.0469,0.762821,0.1698,0.4940
1600,0.01347,0.5026,0.4834,0.4959,0.4730,0.4885,0.4925,0.4676,0.4650,0.4650,0.4745,0.4801,0.5338,3.22,0.0856,0.476413,0.1353,0.4930
1800,0.01000,0.4832,0.5049,0.4758,0.4789,0.4846,0.4637,0.4689,0.4731,0.4595,0.4745,0.4841,0.4956,3.28,0.0826,0.469885,0.2282,0.4940
2000,0.05668,0.5029,0.4834,0.4916,0.4753,0.4758,0.4779,0.4637,0.4619,0.4815,0.4897,0.4788,0.5131,2.09,0.0918,0.617644,0.1984,0.4937
