epoch,loss,acc_th0.20,acc_th0.25,acc_th0.30,acc_th0.35,acc_th0.40,acc_th0.45,acc_th0.50,acc_th0.55,acc_th0.60,acc_th0.65,acc_th0.70,auc,psnr,ssim,mse,lpips,clip
0,0.00000,0.7453,0.7509,0.7499,0.7553,0.7322,0.7316,0.7202,0.7410,0.7342,0.7427,0.7205,0.6608,3.29,0.0749,0.468516,0.2058,0.4971
0,0.03378,0.7462,0.7460,0.7419,0.7291,0.7476,0.7482,0.7214,0.7464,0.7268,0.7201,0.7414,0.7237,3.59,0.1067,0.437191,0.2233,0.4969
200,0.01936,0.7583,0.7568,0.7308,0.7478,0.7261,0.7513,0.7247,0.7235,0.7322,0.7412,0.7148,0.7455,1.86,0.0921,0.651486,0.2336,0.4931
400,0.01377,0.7558,0.7480,0.7531,0.7530,0.7478,0.7368,0.7314,0.7221,0.7457,0.7185,0.7397,0.6759,3.42,0.1003,0.454742,0.1630,0.4960
600,0.02893,0.7462,0.7319,0.7389,0.7542,0.7530,0.7268,0.7429,0.7459,0.7172,0.7272,0.7299,0.7156,2.39,0.0875,0.576669,0.2376,0.4951
800,0.02066,0.7606,0.7452,0.7452,0.7555,0.7459,0.7309,0.7227,0.7182,0.7438,0.7349,0.7390,0.7091,2.66,0.1011,0.541752,0.1972,0.4928
1000,0.00965,0.7458,0.7478,0.7561,0.7519,0.7499,0.7302,0.7322,0.7289,0.7231,0.7294,0.7140,0.7411,5.37,0.1298,0.290453,0.2172,0.4944
1200,0.02105,0.7331,0.7540,0.7362,0.7268,0.7442,0.7477,0.7307,0.7438,0.7449,0.7425,0.7393,0.6956,2.84,0.1034,0.519643,0.2298,0.4963
1400,0.10621,0.7344,0.7407,0.7345,0.7509,0.7315,0.7461,0.7339,0.7233,0.7348,0.7209,0.7180,0.7379,1.13,0.0923,0.770136,0.1943,0.4958
1600,0.04858,0.7443,0.7516,0.7528,0.7370,0.7502,0.7271,0.7312,0.7450,0.7414,0.7384,0.7292,0.7574,1.42,0.1576,0.721027,0.2934,0.4949
1800,0.01299,0.7407,0.7479,0.7526,0.7332,0.7496,0.7483,0.7220,0.7190,0.7280,0.7282,0.7302,0.7312,4.03,0.1572,0.395137,0.1973,0.4938
2000,0.05759,0.7561,0.7466,0.7580,0.7365,0.7264,0.7281,0.7429,0.7449,0.7441,0.7248,0.7397,0.7390,2.91,0.1013,0.511564,0.2031,0.4941
2200,0.02249,0.7374,0.7456,0.7390,0.7345,0.7401,0.7491,0.7264,0.7237,0.7411,0.7279,0.7369,0.7498,2.43,0.0944,0.571570,0.1866,0.4969
2400,0.02104,0.7322,0.7400,0.7522,0.7434,0.7305,0.7254,0.7330,0.7343,0.7379,0.7250,0.7160,0.6830,3.23,0.0908,0.475391,0.1720,0.4944
2600,0.01975,0.7459,0.7469,0.7353,0.7274,0.7311,0.7388,0.7201,0.7225,0.7226,0.7413,0.7384,0.6600,3.43,0.0638,0.454330,0.1707,0.4958
2800,0.01400,0.7568,0.7564,0.7524,0.7331,0.7354,0.7477,0.7393,0.7288,0.7203,0.7373,0.7278,0.7134,1.95,0.0616,0.638704,0.1567,0.4955
3000,0.01733,0.7395,0.7458,0.7358,0.7353,0.7516,0.7267,0.7257,0.7233,0.7258,0.7408,0.7138,0.6652,2.62,0.0860,0.547420,0.1974,0.4941
3200,0.02525,0.7601,0.7420,0.7527,0.7523,0.7308,0.7505,0.7209,0.7414,0.7251,0.7401,0.7136,0.6886,4.09,0.1297,0.389937,0.1612,0.4962
3400,0.03244,0.7463,0.7483,0.7439,0.7493,0.7515,0.7331,0.7444,0.7224,0.7397,0.7390,0.7382,0.6694,3.65,0.1020,0.431063,0.1788,0.4948
3600,0.02518,0.7526,0.7527,0.7547,0.7435,0.7336,0.7261,0.7347,0.7424,0.7169,0.7262,0.7312,0.7556,2.47,0.0937,0.566411,0.2842,0.4945
3800,0.02467,0.7409,0.7509,0.7578,0.7349,0.7406,0.7229,0.7255,0.7338,0.7400,0.7378,0.7420,0.6916,2.32,0.0962,0.586681,0.2309,0.4938
4000,0.03544,0.7427,0.7321,0.7480,0.7339,0.7313,0.7470,0.7255,0.7309,0.7202,0.7191,0.7209,0.7538,2.08,0.0866,0.619403,0.1748,0.4953
4200,0.04579,0.7463,0.7519,0.7307,0.7433,0.7528,0.7305,0.7203,0.7261,0.7178,0.7368,0.7230,0.7156,1.97,0.0980,0.634907,0.1518,0.4951
4400,0.01310,0.7479,0.7413,0.7450,0.7414,0.7459,0.7500,0.7407,0.7328,0.7346,0.7159,0.7230,0.7503,3.10,0.1076,0.489789,0.1847,0.4943
4600,0.02787,0.7585,0.7582,0.7541,0.7375,0.7345,0.7300,0.7398,0.7335,0.7403,0.7319,0.7412,0.6668,3.29,0.1536,0.468815,0.2340,0.4932
4800,0.04065,0.7582,0.7460,0.7460,0.7556,0.7458,0.7227,0.7252,0.7440,0.7324,0.7192,0.7276,0.7480,3.14,0.0952,0.485636,0.2369,0.4954
5000,0.02100,0.7458,0.7342,0.7506,0.7351,0.7521,0.7356,0.7231,0.7227,0.7409,0.7154,0.7151,0.6913,5.58,0.1478,0.276463,0.1259,0.4952
5200,0.03584,0.7538,0.7488,0.7324,0.7342,0.7502,0.7238,0.7223,0.7356,0.7438,0.7367,0.7315,0.7020,2.32,0.0586,0.586550,0.1833,0.4930
5400,0.02279,0.7484,0.7332,0.7307,0.7450,0.7457,0.7488,0.7347,0.7186,0.7331,0.7314,0.7282,0.7511,0.57,0.0857,0.877499,0.2177,0.4937
5600,0.01469,0.7352,0.7508,0.7359,0.7302,0.7447,0.7444,0.7447,0.7398,0.7213,0.7352,0.7315,0.7304,2.80,0.1526,0.525251,0.1677,0.4927
5800,0.03936,0.7469,0.7448,0.7519,0.7333,0.7483,0.7340,0.7480,0.7266,0.7381,0.7170,0.7359,0.7559,3.41,0.1132,0.456290,0.2337,0.4933
