epoch,loss,acc_th0.20,acc_th0.25,acc_th0.30,acc_th0.35,acc_th0.40,acc_th0.45,acc_th0.50,acc_th0.55,acc_th0.60,acc_th0.65,acc_th0.70,auc,psnr,ssim,mse,lpips,clip
0,0.08214,0.4934,0.4821,0.4729,0.4995,0.5043,0.4838,0.4952,0.4702,0.4928,0.4528,0.4710,0.5179,2.58,0.1437,0.552534,0.2665,0.3000
200,0.02430,0.4781,0.4904,0.4841,0.4755,0.4901,0.4816,0.4861,0.4911,0.4735,0.4805,0.4862,0.5025,1.24,0.0482,0.752145,0.2169,0.3000
400,0.04558,0.4906,0.4902,0.4899,0.4908,0.4990,0.4717,0.4915,0.4580,0.4700,0.4637,0.4871,0.5367,1.26,0.0802,0.748100,0.2850,0.3000
600,0.05379,0.5119,0.4741,0.5013,0.4900,0.4652,0.4742,0.4689,0.4929,0.4802,0.4756,0.4513,0.5208,2.91,0.0787,0.511186,0.1531,0.3000
800,0.03128,0.4942,0.4972,0.4826,0.4998,0.4763,0.4737,0.4858,0.4643,0.4813,0.4589,0.4577,0.5428,3.76,0.1120,0.420452,0.2203,0.3000
1000,0.06555,0.5111,0.4951,0.4859,0.4840,0.4925,0.4849,0.4758,0.4852,0.4887,0.4639,0.4585,0.5346,3.48,0.0841,0.448365,0.1592,0.3000
1200,0.12542,0.5106,0.4944,0.5053,0.4756,0.4761,0.4686,0.4814,0.4718,0.4689,0.4833,0.4578,0.5190,3.63,0.1014,0.433717,0.2189,0.3000
1400,0.06128,0.4844,0.4951,0.4739,0.5003,0.5047,0.4989,0.4850,0.4625,0.4650,0.4610,0.4718,0.5114,1.24,0.0365,0.752046,0.1767,0.3000
1600,0.03268,0.5079,0.4736,0.4913,0.4975,0.4827,0.4996,0.4871,0.4826,0.4732,0.4923,0.4871,0.4919,3.29,0.0768,0.468455,0.1838,0.3000
1800,0.04005,0.4883,0.4784,0.4725,0.5052,0.4905,0.4717,0.4665,0.4968,0.4675,0.4619,0.4824,0.5084,4.18,0.0814,0.381722,0.1863,0.3000
2000,0.09575,0.5116,0.5116,0.4730,0.5066,0.4840,0.4847,0.4626,0.4577,0.4836,0.4558,0.4609,0.4919,3.74,0.0923,0.422402,0.2019,0.3000
2200,0.03043,0.4814,0.5028,0.4954,0.4807,0.4705,0.4752,0.4836,0.4647,0.4935,0.4618,0.4714,0.4946,3.36,0.1073,0.461596,0.2443,0.3000
2400,0.02131,0.4957,0.4742,0.4973,0.4677,0.4776,0.4732,0.4963,0.4729,0.4693,0.4570,0.4695,0.5416,1.28,0.0882,0.744353,0.1721,0.3000
2600,0.10297,0.4798,0.4897,0.5035,0.4743,0.4903,0.4643,0.4929,0.4767,0.4778,0.4721,0.4613,0.5470,3.33,0.0737,0.464939,0.1636,0.3000
2800,0.05992,0.4890,0.4857,0.4881,0.4976,0.4772,0.4681,0.4737,0.4676,0.4570,0.4643,0.4733,0.5119,1.64,0.0606,0.685160,0.1906,0.3000
3000,0.05117,0.4913,0.4926,0.4986,0.4747,0.4907,0.4678,0.4682,0.4698,0.4689,0.4924,0.4882,0.5453,2.48,0.0809,0.564897,0.2766,0.3000
3200,0.04725,0.5101,0.5055,0.4715,0.4885,0.4713,0.4983,0.4785,0.4955,0.4875,0.4527,0.4658,0.5222,3.47,0.0871,0.449762,0.1982,0.3000
3400,0.05874,0.5120,0.5053,0.4811,0.4708,0.4725,0.4724,0.4639,0.4785,0.4850,0.4588,0.4853,0.5462,2.62,0.0812,0.546916,0.2180,0.3000
3600,0.03394,0.4768,0.5081,0.4746,0.4718,0.4845,0.4860,0.4856,0.4959,0.4795,0.4729,0.4503,0.5447,2.52,0.0804,0.560377,0.2336,0.3000
3800,0.06510,0.4926,0.5104,0.5019,0.4988,0.4836,0.4983,0.4975,0.4915,0.4610,0.4842,0.4816,0.5463,3.27,0.0594,0.470900,0.2548,0.3000
4000,0.02225,0.4889,0.5077,0.4776,0.4962,0.4968,0.5013,0.4766,0.4782,0.4796,0.4768,0.4673,0.5080,2.93,0.0960,0.509836,0.2383,0.3000
4200,0.07503,0.4785,0.4859,0.5072,0.4764,0.4705,0.4633,0.4823,0.4813,0.4798,0.4798,0.4765,0.4925,2.21,0.0712,0.600550,0.2013,0.3000
4400,0.05553,0.4868,0.4754,0.4907,0.4681,0.5004,0.4860,0.4783,0.4592,0.4583,0.4845,0.4802,0.5072,2.86,0.0753,0.517047,0.1913,0.3000
4600,0.07599,0.4969,0.4987,0.5028,0.4990,0.4967,0.4648,0.4961,0.4886,0.4575,0.4912,0.4781,0.5064,1.40,0.0834,0.725128,0.2083,0.3000
4800,0.08245,0.5098,0.5071,0.5072,0.5020,0.4777,0.4845,0.4688,0.4628,0.4687,0.4756,0.4814,0.4914,2.69,0.1032,0.538747,0.1815,0.3000
5000,0.02571,0.4939,0.5077,0.5012,0.4756,0.5018,0.4637,0.4792,0.4593,0.4656,0.4743,0.4566,0.5092,3.60,0.0904,0.436717,0.1726,0.3000
5200,0.02162,0.5043,0.4906,0.4723,0.4704,0.4728,0.4961,0.4980,0.4637,0.4693,0.4737,0.4595,0.5263,1.86,0.1001,0.651411,0.2041,0.3000
5400,0.01815,0.4839,0.4922,0.4870,0.4760,0.4934,0.4680,0.4823,0.4664,0.4724,0.4674,0.4842,0.5149,3.20,0.0827,0.478208,0.2242,0.3000
5600,0.02936,0.4777,0.4963,0.4804,0.5006,0.5003,0.4959,0.4736,0.4730,0.4759,0.4614,0.4714,0.4943,1.95,0.0755,0.638122,0.2415,0.3000
5800,0.02410,0.4851,0.4903,0.5051,0.4739,0.4719,0.4842,0.4892,0.4957,0.4919,0.4865,0.4646,0.5022,1.49,0.0743,0.709475,0.2278,0.3000
6000,0.05853,0.4890,0.4966,0.4752,0.5005,0.4712,0.4684,0.4795,0.4825,0.4654,0.4593,0.4587,0.5256,4.34,0.0989,0.368474,0.1953,0.3000
6200,0.05061,0.4880,0.5115,0.5057,0.4720,0.5029,0.4860,0.4986,0.4764,0.4703,0.4870,0.4546,0.5230,3.59,0.0516,0.437487,0.1738,0.3000
6400,0.04784,0.4922,0.4770,0.4825,0.4768,0.4822,0.4846,0.4881,0.4922,0.4935,0.4594,0.4771,0.5347,2.63,0.0777,0.546358,0.2436,0.3000
6600,0.02815,0.4885,0.4850,0.4863,0.4839,0.4981,0.4930,0.4835,0.4895,0.4838,0.4780,0.4885,0.5415,3.31,0.0757,0.466948,0.1787,0.3000
6800,0.05419,0.5044,0.4729,0.4829,0.4982,0.4741,0.4727,0.4881,0.4852,0.4872,0.4809,0.4869,0.5215,2.83,0.0890,0.520747,0.2171,0.3000
7000,0.03047,0.5005,0.4734,0.4911,0.5010,0.4826,0.4808,0.4734,0.4670,0.4618,0.4562,0.4583,0.5217,2.97,0.0983,0.504662,0.2532,0.3000
7200,0.06893,0.5104,0.4975,0.4955,0.4938,0.4683,0.4793,0.4929,0.4889,0.4637,0.4923,0.4501,0.5457,2.32,0.0941,0.585873,0.1697,0.3000
7400,0.03080,0.5063,0.5091,0.4775,0.4944,0.4825,0.4990,0.4923,0.4863,0.4635,0.4839,0.4537,0.5206,1.86,0.0948,0.652322,0.1769,0.3000
7600,0.01341,0.4898,0.4946,0.4769,0.4749,0.4779,0.4950,0.4986,0.4817,0.4705,0.4623,0.4799,0.5036,2.80,0.1046,0.525303,0.1879,0.3000
7800,0.02525,0.5083,0.4872,0.5031,0.4814,0.4927,0.4716,0.4896,0.4751,0.4608,0.4900,0.4593,0.5387,4.71,0.0864,0.337805,0.2091,0.3000
8000,0.02980,0.5041,0.4751,0.5071,0.5012,0.4729,0.4880,0.4700,0.4758,0.4588,0.4770,0.4533,0.5185,2.97,0.0735,0.505157,0.1740,0.3000
8200,0.07479,0.5115,0.4828,0.4901,0.4948,0.4749,0.4828,0.4905,0.4638,0.4735,0.4691,0.4508,0.5101,1.49,0.0887,0.709329,0.2288,0.3000
8400,0.01619,0.4921,0.4740,0.5064,0.4734,0.4723,0.4806,0.4800,0.4792,0.4632,0.4653,0.4531,0.5055,2.27,0.0947,0.593608,0.2735,0.3000
8600,0.06569,0.5115,0.4834,0.4948,0.4944,0.4942,0.4847,0.4876,0.4857,0.4816,0.4833,0.4873,0.5230,2.49,0.0417,0.563531,0.2177,0.3000
8800,0.03853,0.5066,0.4844,0.4971,0.4750,0.4741,0.4891,0.4908,0.4666,0.4723,0.4630,0.4674,0.5356,3.97,0.1100,0.401040,0.1688,0.3000
9000,0.02378,0.4914,0.4900,0.4847,0.4861,0.4755,0.4640,0.4700,0.4974,0.4681,0.4749,0.4648,0.5227,1.83,0.0784,0.656291,0.2039,0.3000
9200,0.09063,0.4772,0.4873,0.4993,0.4678,0.4747,0.4992,0.4713,0.4887,0.4795,0.4800,0.4530,0.5051,2.07,0.0677,0.620386,0.1752,0.3000
9400,0.05188,0.5060,0.4853,0.5091,0.4767,0.4749,0.4651,0.4728,0.4860,0.4601,0.4797,0.4583,0.5221,3.22,0.1020,0.476842,0.1609,0.3000
9600,0.03575,0.4909,0.5035,0.4916,0.4897,0.5036,0.4766,0.4811,0.4601,0.4763,0.4527,0.4728,0.4931,1.80,0.0716,0.661163,0.2040,0.3000
9800,0.05607,0.4766,0.5057,0.4840,0.4744,0.4947,0.5018,0.4750,0.4738,0.4760,0.4687,0.4686,0.4911,2.80,0.0965,0.525030,0.1522,0.3000
10000,0.08499,0.4894,0.5098,0.4877,0.4948,0.5007,0.4730,0.4626,0.4812,0.4682,0.4677,0.4515,0.4932,1.92,0.0833,0.643209,0.1854,0.3000
10200,0.02307,0.4887,0.5097,0.4944,0.5021,0.4772,0.4961,0.4929,0.4611,0.4672,0.4801,0.4582,0.5351,2.71,0.0832,0.535355,0.1529,0.3000
10400,0.08547,0.4752,0.4868,0.5049,0.4904,0.5020,0.4919,0.4638,0.4634,0.4947,0.4642,0.4793,0.5290,1.19,0.0552,0.759865,0.1875,0.3000
10600,0.02661,0.4840,0.4989,0.4963,0.4769,0.4707,0.4884,0.4847,0.4877,0.4812,0.4859,0.4880,0.5297,4.53,0.1238,0.352025,0.2271,0.3000
10800,0.01791,0.5099,0.4884,0.4748,0.5000,0.4921,0.4899,0.4922,0.4722,0.4581,0.4696,0.4513,0.5003,2.97,0.0635,0.505022,0.1929,0.3000
11000,0.02426,0.5075,0.5014,0.4802,0.4795,0.4915,0.4717,0.4620,0.4922,0.4608,0.4772,0.4666,0.5473,1.98,0.0965,0.633215,0.1836,0.3000
11200,0.05890,0.4788,0.4765,0.4930,0.5020,0.4893,0.4920,0.4796,0.4675,0.4591,0.4615,0.4648,0.5091,2.20,0.0690,0.602741,0.2297,0.3000
11400,0.07793,0.5110,0.4961,0.4856,0.5004,0.4892,0.4687,0.4993,0.4869,0.4708,0.4916,0.4698,0.5055,2.21,0.0420,0.601345,0.2160,0.3000
11600,0.04077,0.4817,0.4744,0.4893,0.4880,0.5025,0.4964,0.4861,0.4577,0.4552,0.4759,0.4753,0.5049,2.03,0.0499,0.625944,0.1915,0.3000
11800,0.05211,0.5074,0.4867,0.5093,0.4882,0.4667,0.4856,0.4774,0.4711,0.4561,0.4876,0.4569,0.5029,0.85,0.0690,0.821774,0.2606,0.3000
12000,0.04530,0.5106,0.4824,0.5033,0.4858,0.4665,0.4765,0.4894,0.4868,0.4705,0.4541,0.4846,0.5033,3.52,0.0596,0.444702,0.1371,0.3000
12200,0.05231,0.5060,0.5078,0.4922,0.4753,0.4895,0.4951,0.4685,0.4894,0.4572,0.4571,0.4640,0.5299,2.21,0.0869,0.600932,0.2149,0.3000
12400,0.05968,0.5118,0.4941,0.4716,0.4981,0.4840,0.4961,0.4604,0.4717,0.4836,0.4547,0.4704,0.4954,2.93,0.0875,0.509322,0.1674,0.3000
12600,0.00835,0.4824,0.5030,0.5056,0.4936,0.4864,0.4667,0.4681,0.4959,0.4934,0.4824,0.4536,0.5471,3.18,0.0512,0.480661,0.1920,0.3000
12800,0.02830,0.4892,0.4887,0.4982,0.4826,0.4661,0.4801,0.4994,0.4847,0.4888,0.4719,0.4845,0.4947,3.14,0.0540,0.485737,0.2102,0.3000
13000,0.03925,0.4994,0.4912,0.4805,0.4856,0.4921,0.4703,0.4653,0.4822,0.4750,0.4780,0.4667,0.5329,2.58,0.0855,0.551764,0.2249,0.3000
13200,0.06889,0.4822,0.4982,0.4769,0.5050,0.4748,0.4654,0.4730,0.4750,0.4602,0.4918,0.4736,0.5066,1.27,0.0530,0.746093,0.2190,0.3000
13400,0.09336,0.4756,0.4739,0.4922,0.4863,0.4943,0.4694,0.4649,0.4963,0.4944,0.4575,0.4725,0.5385,1.99,0.0756,0.632313,0.1983,0.3000
13600,0.08701,0.4956,0.4952,0.4834,0.5007,0.4682,0.4768,0.4766,0.4877,0.4791,0.4751,0.4551,0.5403,3.13,0.0536,0.485942,0.1737,0.3000
13800,0.03192,0.4889,0.5110,0.4938,0.4821,0.4689,0.4816,0.4879,0.4788,0.4666,0.4817,0.4791,0.4974,2.03,0.0951,0.626752,0.1963,0.3000
14000,0.01454,0.4753,0.5007,0.4884,0.4963,0.4887,0.4920,0.4815,0.4654,0.4884,0.4526,0.4668,0.5216,1.82,0.0885,0.658330,0.1966,0.3000
14200,0.07703,0.4991,0.4764,0.4848,0.5037,0.4721,0.4766,0.4955,0.4961,0.4914,0.4911,0.4778,0.5260,2.41,0.1190,0.574775,0.2296,0.3000
14400,0.02408,0.5149,0.4876,0.4915,0.4884,0.4727,0.4867,0.4665,0.4863,0.4894,0.4658,0.4578,0.5041,1.50,0.1187,0.708466,0.2162,0.3000
14600,0.07306,0.5055,0.4996,0.4930,0.4678,0.4785,0.4827,0.4938,0.4675,0.4923,0.4656,0.4882,0.4935,2.42,0.0643,0.572659,0.2120,0.3000
14800,0.06734,0.4924,0.5053,0.4871,0.4844,0.5013,0.4667,0.4644,0.4613,0.4916,0.4708,0.4623,0.5204,0.12,0.0545,0.972146,0.1931,0.3000
15000,0.03987,0.4842,0.4926,0.4873,0.4702,0.4894,0.4857,0.4949,0.4912,0.4584,0.4793,0.4548,0.5454,2.91,0.0959,0.511410,0.1704,0.3000
15200,0.02513,0.4755,0.5018,0.4718,0.4916,0.4985,0.4951,0.4648,0.4584,0.4809,0.4658,0.4599,0.5332,4.59,0.1359,0.347240,0.1746,0.3000
15400,0.03028,0.4852,0.4979,0.4704,0.4890,0.4978,0.4925,0.4692,0.4774,0.4817,0.4558,0.4900,0.5124,2.97,0.1233,0.504161,0.1320,0.3000
15600,0.05430,0.4870,0.5090,0.4874,0.4888,0.4686,0.4908,0.4995,0.4836,0.4674,0.4915,0.4537,0.5351,2.56,0.0442,0.555205,0.1750,0.3000
15800,0.04375,0.4993,0.4893,0.5013,0.4831,0.4958,0.4644,0.4821,0.4623,0.4894,0.4806,0.4849,0.5222,2.62,0.0391,0.547463,0.1529,0.3000
16000,0.04345,0.4992,0.4970,0.5028,0.4816,0.4693,0.5005,0.4851,0.4869,0.4752,0.4643,0.4870,0.5042,2.42,0.0825,0.572562,0.1718,0.3000
16200,0.02675,0.5062,0.5006,0.4973,0.4984,0.4985,0.4688,0.4606,0.4775,0.4868,0.4622,0.4515,0.5424,2.49,0.0770,0.564109,0.1640,0.3000
16400,0.06338,0.4972,0.4944,0.5092,0.5019,0.4781,0.4706,0.4864,0.4925,0.4801,0.4872,0.4771,0.4986,0.96,0.0824,0.800955,0.2743,0.3000
16600,0.04207,0.5131,0.4756,0.4951,0.5019,0.4695,0.4974,0.4795,0.4763,0.4858,0.4893,0.4754,0.5431,4.09,0.1019,0.389724,0.2284,0.3000
16800,0.03198,0.5088,0.4948,0.4773,0.4703,0.5028,0.4911,0.4852,0.4610,0.4555,0.4730,0.4838,0.5274,2.77,0.0539,0.528098,0.1635,0.3000
17000,0.02598,0.4835,0.4785,0.5016,0.4900,0.4660,0.4951,0.4839,0.4770,0.4647,0.4778,0.4587,0.5347,2.75,0.0578,0.530471,0.2008,0.3000
17200,0.02262,0.5092,0.4805,0.5038,0.4856,0.4662,0.4990,0.4721,0.4699,0.4878,0.4705,0.4857,0.5117,2.01,0.0608,0.629266,0.2187,0.3000
17400,0.03350,0.4872,0.4976,0.4916,0.4934,0.4733,0.4968,0.4766,0.4786,0.4636,0.4625,0.4555,0.5326,1.84,0.0910,0.653937,0.2295,0.3000
17600,0.07214,0.5088,0.5038,0.4938,0.4751,0.5042,0.4932,0.4739,0.4889,0.4793,0.4680,0.4859,0.4940,3.12,0.0953,0.487809,0.2128,0.3000
17800,0.03951,0.5071,0.5043,0.5013,0.4701,0.4995,0.4945,0.4638,0.4927,0.4900,0.4703,0.4539,0.5176,0.60,0.0686,0.870602,0.1736,0.3000
18000,0.03415,0.4955,0.4753,0.4985,0.4992,0.4854,0.4740,0.4823,0.4791,0.4682,0.4740,0.4716,0.5282,1.52,0.1224,0.705298,0.2196,0.3000
18200,0.01172,0.5047,0.4893,0.4999,0.4791,0.4711,0.4758,0.4961,0.4809,0.4779,0.4698,0.4713,0.4978,0.78,0.0676,0.834644,0.2812,0.3000
18400,0.06759,0.5015,0.4872,0.4777,0.4890,0.4930,0.4869,0.4762,0.4850,0.4702,0.4798,0.4791,0.5482,2.27,0.0338,0.592471,0.1970,0.3000
18600,0.06971,0.4798,0.4799,0.5042,0.4875,0.4841,0.4939,0.4829,0.4935,0.4688,0.4878,0.4896,0.5496,1.68,0.0593,0.679849,0.2285,0.3000
18800,0.01853,0.4771,0.4940,0.5044,0.5008,0.4760,0.4754,0.4662,0.4670,0.4734,0.4728,0.4849,0.5275,3.23,0.0802,0.474968,0.1675,0.3000
19000,0.04206,0.4901,0.5123,0.4787,0.4936,0.5046,0.4864,0.4897,0.4922,0.4673,0.4598,0.4818,0.5285,3.45,0.0935,0.451979,0.1960,0.3000
19200,0.10050,0.4799,0.5069,0.4927,0.4841,0.4706,0.4882,0.4829,0.4687,0.4578,0.4761,0.4509,0.5272,4.04,0.0835,0.394212,0.1455,0.3000
19400,0.03940,0.5075,0.4843,0.4841,0.4905,0.4851,0.4865,0.4851,0.4760,0.4687,0.4677,0.4558,0.5308,1.98,0.0828,0.633571,0.1924,0.3000
19600,0.10681,0.4801,0.4759,0.4704,0.4793,0.4656,0.4796,0.4908,0.4612,0.4614,0.4545,0.4737,0.5109,2.69,0.0815,0.538755,0.2042,0.3000
19800,0.03363,0.5058,0.4971,0.4706,0.4991,0.5030,0.4926,0.4961,0.4908,0.4740,0.4770,0.4503,0.5443,2.09,0.0962,0.617867,0.2215,0.3000
20000,0.03582,0.4945,0.4749,0.4885,0.4810,0.5005,0.4957,0.4711,0.4846,0.4634,0.4852,0.4595,0.5113,2.74,0.1160,0.532181,0.2065,0.3000
20200,0.03302,0.5145,0.4828,0.5051,0.4780,0.4866,0.4945,0.4909,0.4853,0.4826,0.4860,0.4503,0.5316,1.87,0.0515,0.650329,0.1928,0.3000
20400,0.03692,0.4829,0.4829,0.4882,0.4958,0.5015,0.4976,0.4743,0.4766,0.4927,0.4731,0.4571,0.5351,2.00,0.0483,0.631083,0.2090,0.3000
