epoch,loss,acc_th0.20,acc_th0.25,acc_th0.30,acc_th0.35,acc_th0.40,acc_th0.45,acc_th0.50,acc_th0.55,acc_th0.60,acc_th0.65,acc_th0.70,auc,psnr,ssim,mse,lpips,clip
0,0.00000,0.4927,0.5004,0.4993,0.5065,0.4759,0.4752,0.4603,0.4881,0.4793,0.4908,0.4614,0.4905,3.29,0.0749,0.468528,0.2058,0.4971
0,0.03378,0.4939,0.4939,0.4886,0.4717,0.4964,0.4974,0.4619,0.4954,0.4694,0.4607,0.4892,0.5282,3.59,0.1067,0.437196,0.2232,0.4969
200,0.01936,0.5101,0.5083,0.4737,0.4966,0.4679,0.5015,0.4663,0.4648,0.4766,0.4888,0.4537,0.5413,1.86,0.0922,0.651478,0.2336,0.4931
400,0.01377,0.5068,0.4965,0.5034,0.5035,0.4967,0.4823,0.4752,0.4629,0.4945,0.4586,0.4869,0.4995,3.42,0.1003,0.454742,0.1630,0.4960
600,0.02893,0.4940,0.4750,0.4846,0.5051,0.5037,0.4689,0.4906,0.4948,0.4566,0.4701,0.4739,0.5234,2.39,0.0875,0.576679,0.2376,0.4951
800,0.02066,0.5132,0.4927,0.4930,0.5068,0.4942,0.4743,0.4637,0.4578,0.4920,0.4804,0.4860,0.5194,2.66,0.1011,0.541755,0.1972,0.4928
1000,0.00965,0.4934,0.4963,0.5075,0.5021,0.4995,0.4734,0.4763,0.4720,0.4645,0.4730,0.4527,0.5387,5.37,0.1298,0.290448,0.2172,0.4944
1200,0.02105,0.4764,0.5045,0.4810,0.4685,0.4919,0.4968,0.4743,0.4918,0.4936,0.4906,0.4865,0.5113,2.84,0.1034,0.519647,0.2298,0.4963
1400,0.10621,0.4782,0.4868,0.4786,0.5007,0.4751,0.4946,0.4785,0.4646,0.4800,0.4617,0.4580,0.5368,1.13,0.0922,0.770135,0.1943,0.4958
1600,0.04858,0.4913,0.5013,0.5031,0.4822,0.5000,0.4693,0.4750,0.4935,0.4889,0.4851,0.4729,0.5485,1.42,0.1576,0.721029,0.2934,0.4949
1800,0.01299,0.4866,0.4964,0.5028,0.4771,0.4991,0.4975,0.4627,0.4588,0.4710,0.4714,0.4742,0.5327,4.03,0.1572,0.395150,0.1973,0.4938
2000,0.05759,0.5071,0.4946,0.5100,0.4815,0.4682,0.4706,0.4905,0.4934,0.4925,0.4669,0.4870,0.5374,2.91,0.1013,0.511561,0.2031,0.4941
2200,0.02249,0.4822,0.4933,0.4846,0.4789,0.4864,0.4986,0.4685,0.4651,0.4885,0.4711,0.4832,0.5439,2.43,0.0944,0.571578,0.1866,0.4969
2400,0.02104,0.4753,0.4858,0.5023,0.4907,0.4737,0.4671,0.4774,0.4792,0.4842,0.4672,0.4553,0.5038,3.23,0.0908,0.475385,0.1720,0.4944
2600,0.01975,0.4935,0.4950,0.4798,0.4694,0.4745,0.4849,0.4601,0.4634,0.4638,0.4889,0.4852,0.4900,3.43,0.0638,0.454329,0.1707,0.4958
2800,0.01400,0.5081,0.5077,0.5025,0.4770,0.4801,0.4968,0.4858,0.4718,0.4607,0.4836,0.4710,0.5220,1.95,0.0616,0.638698,0.1567,0.4955
3000,0.01733,0.4849,0.4935,0.4803,0.4800,0.5017,0.4688,0.4676,0.4646,0.4681,0.4882,0.4524,0.4931,2.62,0.0860,0.547536,0.1973,0.4941
3200,0.02525,0.5124,0.4884,0.5030,0.5026,0.4741,0.5004,0.4612,0.4887,0.4672,0.4872,0.4522,0.5072,4.09,0.1297,0.389934,0.1612,0.4962
3400,0.03244,0.4941,0.4970,0.4912,0.4986,0.5017,0.4774,0.4925,0.4633,0.4867,0.4858,0.4849,0.4956,3.65,0.1020,0.431104,0.1788,0.4948
3600,0.02518,0.5025,0.5027,0.5057,0.4908,0.4778,0.4680,0.4796,0.4901,0.4562,0.4688,0.4755,0.5474,2.47,0.0937,0.566492,0.2842,0.4945
3800,0.02467,0.4869,0.5004,0.5097,0.4794,0.4872,0.4637,0.4673,0.4785,0.4870,0.4843,0.4900,0.5090,2.32,0.0962,0.586673,0.2309,0.4937
4000,0.03544,0.4893,0.4753,0.4967,0.4781,0.4747,0.4958,0.4673,0.4747,0.4606,0.4593,0.4619,0.5463,2.08,0.0866,0.619403,0.1748,0.4953
4200,0.04579,0.4941,0.5017,0.4736,0.4906,0.5034,0.4739,0.4604,0.4683,0.4574,0.4829,0.4647,0.5234,1.97,0.0980,0.634927,0.1518,0.4951
4400,0.01310,0.4962,0.4876,0.4927,0.4881,0.4942,0.4999,0.4876,0.4773,0.4797,0.4550,0.4647,0.5442,3.10,0.1076,0.489824,0.1847,0.4943
4600,0.02787,0.5104,0.5101,0.5048,0.4829,0.4790,0.4732,0.4864,0.4782,0.4874,0.4763,0.4889,0.4941,3.29,0.1536,0.468796,0.2340,0.4932
4800,0.04065,0.5100,0.4938,0.4941,0.5070,0.4940,0.4635,0.4670,0.4922,0.4769,0.4595,0.4707,0.5428,3.14,0.0951,0.485803,0.2370,0.4954
5000,0.02100,0.4934,0.4781,0.5001,0.4797,0.5024,0.4807,0.4642,0.4638,0.4882,0.4543,0.4542,0.5088,5.58,0.1478,0.276458,0.1259,0.4952
5200,0.03584,0.5040,0.4975,0.4758,0.4784,0.5000,0.4650,0.4631,0.4810,0.4921,0.4828,0.4760,0.5152,2.32,0.0586,0.586526,0.1833,0.4930
