epoch,loss,acc_th0.20,acc_th0.25,acc_th0.30,acc_th0.35,acc_th0.40,acc_th0.45,acc_th0.50,acc_th0.55,acc_th0.60,acc_th0.65,acc_th0.70,auc,psnr,ssim,mse,lpips,clip
0,0.00000,0.7453,0.7509,0.7499,0.7553,0.7322,0.7316,0.7202,0.7410,0.7342,0.7427,0.7205,0.6608,3.28,0.0768,0.469715,0.1986,0.4936
0,0.01610,0.7462,0.7460,0.7419,0.7291,0.7476,0.7482,0.7214,0.7464,0.7268,0.7201,0.7414,0.7237,3.34,0.0961,0.463526,0.2744,0.4979
200,0.04955,0.7583,0.7568,0.7308,0.7478,0.7261,0.7513,0.7247,0.7235,0.7322,0.7412,0.7148,0.7455,0.64,0.1181,0.862819,0.2519,0.4935
400,0.04683,0.7558,0.7480,0.7531,0.7530,0.7478,0.7368,0.7314,0.7221,0.7457,0.7185,0.7397,0.6759,0.89,0.0933,0.814390,0.2247,0.4935
600,0.03574,0.7462,0.7319,0.7389,0.7542,0.7530,0.7268,0.7429,0.7459,0.7172,0.7272,0.7299,0.7156,2.83,0.1149,0.521615,0.2639,0.4961
800,0.04727,0.7606,0.7452,0.7452,0.7555,0.7459,0.7309,0.7227,0.7182,0.7438,0.7349,0.7390,0.7091,3.26,0.1146,0.472543,0.2539,0.4934
1000,0.05127,0.7458,0.7478,0.7561,0.7519,0.7499,0.7302,0.7322,0.7289,0.7231,0.7294,0.7140,0.7411,3.20,0.0910,0.478588,0.1473,0.4960
1200,0.04304,0.7331,0.7540,0.7362,0.7268,0.7442,0.7477,0.7307,0.7438,0.7449,0.7425,0.7393,0.6956,1.49,0.0836,0.710187,0.2033,0.4946
1400,0.03357,0.7344,0.7407,0.7345,0.7509,0.7315,0.7461,0.7339,0.7233,0.7348,0.7209,0.7180,0.7379,3.88,0.1279,0.408907,0.1787,0.4960
1600,0.01945,0.7443,0.7516,0.7528,0.7370,0.7502,0.7271,0.7312,0.7450,0.7414,0.7384,0.7292,0.7574,1.30,0.1030,0.741019,0.2927,0.4946
1800,0.01254,0.7407,0.7479,0.7526,0.7332,0.7496,0.7483,0.7220,0.7190,0.7280,0.7282,0.7302,0.7312,2.99,0.1168,0.502654,0.1881,0.4946
2000,0.01893,0.7561,0.7466,0.7580,0.7365,0.7264,0.7281,0.7429,0.7449,0.7441,0.7248,0.7397,0.7390,3.88,0.1118,0.408886,0.1539,0.4968
2200,0.02235,0.7374,0.7456,0.7390,0.7345,0.7401,0.7491,0.7264,0.7237,0.7411,0.7279,0.7369,0.7498,2.77,0.1429,0.529031,0.1920,0.4940
2400,0.02900,0.7322,0.7400,0.7522,0.7434,0.7305,0.7254,0.7330,0.7343,0.7379,0.7250,0.7160,0.6830,2.73,0.0955,0.532786,0.1753,0.4944
