epoch,loss,acc_th0.20,acc_th0.25,acc_th0.30,acc_th0.35,acc_th0.40,acc_th0.45,acc_th0.50,acc_th0.55,acc_th0.60,acc_th0.65,acc_th0.70,auc,psnr,ssim,mse,lpips,clip
0,0.00000,0.4927,0.5004,0.4993,0.5065,0.4759,0.4752,0.4603,0.4881,0.4793,0.4908,0.4614,0.4905,3.28,0.0768,0.469718,0.1986,0.4936
0,0.01610,0.4939,0.4939,0.4886,0.4717,0.4964,0.4974,0.4619,0.4954,0.4694,0.4607,0.4892,0.5282,3.34,0.0961,0.463527,0.2744,0.4979
200,0.04955,0.5101,0.5083,0.4737,0.4966,0.4679,0.5015,0.4663,0.4648,0.4766,0.4888,0.4537,0.5413,0.64,0.1181,0.862819,0.2519,0.4935
400,0.04683,0.5068,0.4965,0.5034,0.5035,0.4967,0.4823,0.4752,0.4629,0.4945,0.4586,0.4869,0.4995,0.89,0.0933,0.814377,0.2247,0.4935
600,0.03574,0.4940,0.4750,0.4846,0.5051,0.5037,0.4689,0.4906,0.4948,0.4566,0.4701,0.4739,0.5234,2.83,0.1149,0.521612,0.2639,0.4961
800,0.04727,0.5132,0.4927,0.4930,0.5068,0.4942,0.4743,0.4637,0.4578,0.4920,0.4804,0.4860,0.5194,3.26,0.1146,0.472549,0.2539,0.4934
1000,0.05127,0.4934,0.4963,0.5075,0.5021,0.4995,0.4734,0.4763,0.4720,0.4645,0.4730,0.4527,0.5387,3.20,0.0910,0.478595,0.1473,0.4960
1200,0.04304,0.4764,0.5045,0.4810,0.4685,0.4919,0.4968,0.4743,0.4918,0.4936,0.4906,0.4865,0.5113,1.49,0.0836,0.710191,0.2033,0.4946
1400,0.03357,0.4782,0.4868,0.4786,0.5007,0.4751,0.4946,0.4785,0.4646,0.4800,0.4617,0.4580,0.5368,3.88,0.1279,0.408906,0.1787,0.4960
1600,0.01945,0.4913,0.5013,0.5031,0.4822,0.5000,0.4693,0.4750,0.4935,0.4889,0.4851,0.4729,0.5485,1.30,0.1030,0.741021,0.2926,0.4946
1800,0.01254,0.4866,0.4964,0.5028,0.4771,0.4991,0.4975,0.4627,0.4588,0.4710,0.4714,0.4742,0.5327,2.99,0.1168,0.502653,0.1881,0.4946
2000,0.01893,0.5071,0.4946,0.5100,0.4815,0.4682,0.4706,0.4905,0.4934,0.4925,0.4669,0.4870,0.5374,3.88,0.1118,0.408892,0.1539,0.4968
2200,0.02235,0.4822,0.4933,0.4846,0.4789,0.4864,0.4986,0.4685,0.4651,0.4885,0.4711,0.4832,0.5439,2.77,0.1429,0.529038,0.1920,0.4940
2400,0.02900,0.4753,0.4858,0.5023,0.4907,0.4737,0.4671,0.4774,0.4792,0.4842,0.4672,0.4553,0.5038,2.73,0.0955,0.532772,0.1753,0.4944
2600,0.01216,0.4935,0.4950,0.4798,0.4694,0.4745,0.4849,0.4601,0.4634,0.4638,0.4889,0.4852,0.4900,4.12,0.1299,0.387227,0.1868,0.4936
2800,0.01720,0.5081,0.5077,0.5025,0.4770,0.4801,0.4968,0.4858,0.4718,0.4607,0.4836,0.4710,0.5220,3.67,0.1251,0.429055,0.1938,0.4963
3000,0.02342,0.4849,0.4935,0.4803,0.4800,0.5017,0.4688,0.4676,0.4646,0.4681,0.4882,0.4524,0.4931,2.83,0.0961,0.521276,0.2677,0.4946
3200,0.03710,0.5124,0.4884,0.5030,0.5026,0.4741,0.5004,0.4612,0.4887,0.4672,0.4872,0.4522,0.5072,4.31,0.1027,0.370258,0.1922,0.4944
3400,0.02929,0.4941,0.4970,0.4912,0.4986,0.5017,0.4774,0.4925,0.4633,0.4867,0.4858,0.4849,0.4956,5.17,0.1224,0.304151,0.1810,0.4944
3600,0.02213,0.5025,0.5027,0.5057,0.4908,0.4778,0.4680,0.4796,0.4901,0.4562,0.4688,0.4755,0.5474,4.82,0.1464,0.329329,0.1697,0.4944
3800,0.02765,0.4869,0.5004,0.5097,0.4794,0.4872,0.4637,0.4673,0.4785,0.4870,0.4843,0.4900,0.5090,2.37,0.0772,0.579996,0.2005,0.4957
4000,0.03359,0.4893,0.4753,0.4967,0.4781,0.4747,0.4958,0.4673,0.4747,0.4606,0.4593,0.4619,0.5463,2.69,0.1018,0.538811,0.2382,0.4966
4200,0.01184,0.4941,0.5017,0.4736,0.4906,0.5034,0.4739,0.4604,0.4683,0.4574,0.4829,0.4647,0.5234,4.16,0.1562,0.383848,0.2053,0.4950
